41346,0.09,0.91
53611,0.04,0.96
58797,0.09,0.91
82934,0.38,0.62
91297,0.6,0.4
94685,0.19,0.81
141292,0.23,0.77
181229,0.45,0.55
184446,0.09,0.91
202379,0.19,0.81
212117,0.05,0.95
214034,0.04,0.96
216905,0.01,0.99
218487,0.06,0.94
254520,0.22,0.78
314330,0.16,0.84
316470,0.2,0.8
326835,0.0,1.0
329381,0.17,0.83
338261,0.03,0.97
339906,0.64,0.36
382729,0.02,0.98
404503,0.02,0.98
414824,0.18,0.82
416567,0.13,0.87
417418,0.27,0.73
441842,0.16,0.84
501092,0.58,0.42
515200,0.0,1.0
530201,0.08,0.92
531006,0.04,0.96
546752,0.04,0.96
548282,0.12,0.88
569806,0.13,0.87
581477,0.3,0.7
583802,0.01,0.99
592688,0.07,0.93
627402,0.15,0.85
628128,0.31,0.69
629065,0.26,0.74
631725,0.12,0.88
632622,0.29,0.71
633518,0.13,0.87
644405,0.34,0.66
648246,0.45,0.55
650474,0.41,0.59
653331,0.46,0.54
657089,0.4,0.6
663305,0.45,0.55
679943,0.54,0.46
697013,0.13,0.87
704994,0.01,0.99
714256,0.01,0.99
718877,0.01,0.99
719737,0.13,0.87
725534,0.31,0.69
729510,0.05,0.95
741444,0.12,0.88
748259,0.13,0.87
749987,0.11,0.89
762570,0.45,0.55
792324,0.37,0.63
792743,0.4,0.6
808782,0.36,0.64
809777,0.37,0.63
810380,0.41,0.59
812204,0.43,0.57
